Day,Meal Type,Food,Regional Type,Food Type,Trimester
Thursday,Lunch,Vegetable kurma with chapati,South Indian,Veg,Trimester 3
Thursday,Lunch,Spinach dal with steamed rice,South Indian,Veg,Trimester 3
Thursday,Lunch,Chicken sukka,South Indian,Non-Veg,Trimester 3
Thursday,Lunch,Steamed sweet corn with light seasoning,South Indian,Veg,Trimester 3
Thursday,Lunch,Curd rice with grated carrot and coriander,South Indian,Veg,Trimester 3
Thursday,Lunch,Roasted peanuts (small handful) as side/snack,South Indian,Veg,Trimester 3
Thursday,Snack,Mini idli with coconut chutney,South Indian,Veg,Trimester 3
Thursday,Snack,Vegetable upma (small portion),South Indian,Veg,Trimester 3
Thursday,Snack,Poha with peas and carrot,South Indian,Veg,Trimester 3
Thursday,Snack,Sundal (boiled chickpeas/green gram) with grated coconut,South Indian,Veg,Trimester 3
Thursday,Snack,Kosambari (moong dal salad),South Indian,Veg,Trimester 3
Thursday,Snack,Steamed corn with a pinch of salt,South Indian,Veg,Trimester 3
Thursday,Snack,Vegetable sandwich (small portion),South Indian,Veg,Trimester 3
Thursday,Snack,Rava kesari (small portion),South Indian,Veg,Trimester 3
Thursday,Snack,Banana or seasonal fruit,South Indian,Veg,Trimester 3
Thursday,Snack,Curd (small bowl) with flax seeds,South Indian,Veg,Trimester 3
Thursday,Snack,Murukku (light or baked),South Indian,Veg,Trimester 3
Thursday,Snack,Mini vegetable dosa with coconut chutney,South Indian,Veg,Trimester 3
Thursday,Snack,Idiyappam (steamed string hoppers) with milk (small),South Indian,Veg,Trimester 3
Thursday,Snack,Vegetable uthappam (small) with coconut chutney,South Indian,Veg,Trimester 3
Thursday,Snack,Peanut chikki,South Indian,Veg,Trimester 3
Thursday,Snack,Boiled sweet potato cubes with mild seasoning,South Indian,Veg,Trimester 3
Thursday,Snack,Steamed ridge gourd with mild seasoning,South Indian,Veg,Trimester 3
Thursday,Snack,Mixed vegetable salad (light),South Indian,Veg,Trimester 3
Thursday,Snack,Eggless Cakes,South Indian,Veg,Trimester 3
Thursday,Snack,Roasted chickpeas with mild spices (small handful),South Indian,Veg,Trimester 3
Tuesday,Breakfast,Apple slices with peanut butter,South Indian,Veg,Trimester 3
Tuesday,Breakfast,Figs and dates porridge (millet/ragi),South Indian,Veg,Trimester 3
Tuesday,Breakfast,Banana and yogurt smoothie,South Indian,Veg,Trimester 3
Tuesday,Breakfast,Mixed nuts,South Indian,Veg,Trimester 3
Tuesday,Lunch,Lemon rice with steamed beans,South Indian,Veg,Trimester 3
Tuesday,Lunch,Mixed vegetable sambar with rice,South Indian,Veg,Trimester 3
Tuesday,Lunch,Chickpea sundal with grated coconut,South Indian,Veg,Trimester 3
Tuesday,Lunch,Mixed vegetable poriyal with chapati,South Indian,Veg,Trimester 3
Tuesday,Lunch,Curd rice with grated carrot and coriander,South Indian,Veg,Trimester 3
Tuesday,Lunch,Steamed sweet corn with light seasoning,South Indian,Veg,Trimester 3
Tuesday,Lunch,Roasted peanuts or cashews (small handful),South Indian,Veg,Trimester 3
Tuesday,Lunch,Chicken sukka ,South Indian,Non-Veg,Trimester 3
Tuesday,Lunch,Spinach dal with steamed rice,South Indian,Veg,Trimester 3
Tuesday,Lunch,Vegetable kurma with chapati,South Indian,Veg,Trimester 3
Tuesday,Lunch,Vegetable upma with grated carrots and peas,South Indian,Veg,Trimester 3
Tuesday,Lunch,Moong dal khichdi with vegetables,South Indian,Veg,Trimester 3
Tuesday,Snack,Idli with coconut chutney,South Indian,Veg,Trimester 3
Tuesday,Snack,Pesarattu (Green Moong Dosa),South Indian,Veg,Trimester 3
Sunday,Snack,Roasted Peanuts (small handful),South Indian,Veg,Trimester 3
Sunday,Snack,Peanut Chikki (small piece),South Indian,Veg,Trimester 3
Tuesday,Snack,Makhana (roasted foxnuts),South Indian,Veg,Trimester 3
Tuesday,Snack,Poha with peas and carrots,South Indian,Veg,Trimester 3
Tuesday,Snack,Mini Medu Vada,South Indian,Veg,Trimester 3
Tuesday,Snack,Steamed Sweet Potato cubes with mild seasoning,South Indian,Veg,Trimester 3
Tuesday,Snack,Mini Vegetable Dosa with coconut chutney,South Indian,Veg,Trimester 3
Tuesday,Snack,Mixed Vegetable Salad (light),South Indian,Veg,Trimester 3
Wednesday,Breakfast,Vegetable upma (small portion),South Indian,Veg,Trimester 3
Wednesday,Breakfast,Rava idli with coconut chutney (2 pieces),South Indian,Veg,Trimester 3
Wednesday,Breakfast,Pesarattu (Green moong dosa) with ginger chutney,South Indian,Veg,Trimester 3
sunday,Breakfast,Steamed idiyappam with milk (small portion),South Indian,Veg,Trimester 3
sunday,Breakfast,Mini vegetable dosa with coconut chutney (1-2 pieces),South Indian,Veg,Trimester 3
Wednesday,Lunch,Lemon rice with steamed beans,South Indian,Veg,Trimester 3
Wednesday,Lunch,Mixed vegetable sambar with rice,South Indian,Veg,Trimester 3
Wednesday,Lunch,Chickpea sundal with grated coconut,South Indian,Veg,Trimester 3
Wednesday,Lunch,Mixed vegetable poriyal with chapati,South Indian,Veg,Trimester 3
Wednesday,Lunch,Curd rice with grated carrot and coriander,South Indian,Veg,Trimester 3
Wednesday,Lunch,Steamed sweet corn with mild seasoning,South Indian,Veg,Trimester 3
Wednesday,Lunch,Roasted peanuts (small handful) as side/snack,South Indian,Veg,Trimester 3
Wednesday,Lunch,Chicken sukka,South Indian,Non-Veg,Trimester 3
Wednesday,Lunch,Spinach dal with steamed rice,South Indian,Veg,Trimester 3
Wednesday,Lunch,Vegetable kurma with chapati,South Indian,Veg,Trimester 3
Wednesday,Lunch,Masala idli  with coconut chutney as side,South Indian,Veg,Trimester 3
Wednesday,Lunch,Ragi malt (small glass),South Indian,Veg,Trimester 3
Wednesday,Lunch,Pineapple or pomegranate slices (small portion),South Indian,Veg,Trimester 3
Wednesday,Lunch,Dates (2-3 pieces),South Indian,Veg,Trimester 3
Wednesday,Snack,Mini idli with coconut chutney,South Indian,Veg,Trimester 3
Wednesday,Snack,Vegetable upma (small portion),South Indian,Veg,Trimester 3
Wednesday,Snack,Poha with peas and carrot,South Indian,Veg,Trimester 3
Wednesday,Snack,Sundal (boiled chickpeas/green gram) with grated coconut,South Indian,Veg,Trimester 3
Wednesday,Snack,Kosambari (moong dal salad with cucumber),South Indian,Veg,Trimester 3
Wednesday,Snack,Steamed corn with a pinch of salt,South Indian,Veg,Trimester 3
Wednesday,Snack,Vegetable sandwich (small portion),South Indian,Veg,Trimester 3
Wednesday,Snack,Rava kesari (small portion),South Indian,Veg,Trimester 3
Wednesday,Snack,Banana or seasonal fruit,South Indian,Veg,Trimester 3
Wednesday,Snack,Curd (small bowl) with flax seeds,South Indian,Veg,Trimester 3
Wednesday,Snack,Murukku,South Indian,Veg,Trimester 3
Wednesday,Snack,Mini vegetable dosa with coconut chutney,South Indian,Veg,Trimester 3
Wednesday,Snack,Idiyappam (steamed string hoppers) with milk (small),South Indian,Veg,Trimester 3
Sunday,Snack,Vegetable uthappam (small) with coconut chutney,South Indian,Veg,Trimester 3
Sunday,Snack,Peanut chikki,South Indian,Veg,Trimester 3
Sunday,Snack,Boiled sweet potato cubes with mild seasoning,South Indian,Veg,Trimester 3
Sunday,Snack,Chilli Chicken,South Indian,Veg,Trimester 3
Sunday,Snack,Mixed vegetable salad (light),South Indian,Veg,Trimester 3
Sunday,Snack,Onion Pakoda,South Indian,Veg,Trimester 3
Wednesday,Snack,Roasted chickpeas with mild spices (small handful),South Indian,Veg,Trimester 3

